device_id,gender,age,group
-8076087639492063270,M,35,M32-38
-2897161552818060146,M,35,M32-38
-8260683887967679142,M,35,M32-38
-4938849341048082022,M,30,M29-31
245133531816851882,M,30,M29-31
-1297074871525174196,F,24,F24-26
236877999787307864,M,36,M32-38
-8098239495777311881,M,38,M32-38
176515041953473526,M,33,M32-38
1596610250680140042,F,36,F33-42
9032155484127182494,M,31,M29-31
7477216237379271436,F,37,F33-42
2478205222798310601,F,28,F27-28
6352067998666467520,M,32,M32-38
-7605360767281960867,M,48,M39+
1508636020748379883,F,28,F27-28
4380872794486415327,M,38,M32-38
-1039701474753771322,M,38,M32-38
-6876541075223249434,M,75,M39+
6287938418661076759,M,33,M32-38
-6029676723224952628,F,39,F33-42
8026504930081700361,M,25,M23-26
1118970699362079126,M,24,M23-26
-7271319853104672050,M,27,M27-28
-9216966316587614491,M,29,M29-31
-4913644674161904021,M,34,M32-38
2313145512701915151,M,34,M32-38
4309468945717577632,F,36,F33-42
-4547337748907986143,M,37,M32-38
-7216269352973401877,M,37,M32-38
-7303294878482532208,M,33,M32-38
7630241409816671260,M,35,M32-38
7106922851105968241,M,22,M22-
-5825546292084395293,M,31,M29-31
5886404762741543631,M,37,M32-38
3444770318780911055,M,36,M32-38
3549658489155683094,M,26,M23-26
-7360652256644378412,M,38,M32-38
-3207654344601946580,M,38,M32-38
-1279883160764317574,M,31,M29-31
3014072209520807550,M,28,M27-28
-2871140782885206484,M,22,M22-
-5070177130701218827,M,31,M29-31
-1539979963116391306,M,31,M29-31
