device_id,phone_brand,device_model
-8890648629457979026,小米,红米
1277779817574759137,小米,MI 2
5137427614288105724,三星,Galaxy S4
3669464369358936369,SUGAR,时尚手机
-5019277647504317457,三星,Galaxy Note 2
3238009352149731868,华为,Mate
-3883532755183027260,小米,MI 2S
-2972199645857147708,华为,G610S
-5827952925479472594,小米,MI One Plus
-8262508968076336275,vivo,S7I
5840378295166286440,三星,Galaxy S3
-5776341595519925628,小米,MI 2A
3437705102632680210,三星,Galaxy S3
-3568334676360016285,三星,Galaxy S3
556978549708484782,小米,MI 2
5694497738268412307,小米,MI 3
6327116114284382479,华为,G520-0000
773248989809697210,vivo,X5Pro
-686020914357018824,小米,MI 2S
6936613487637228956,魅族,MX2
-3875043166283300758,三星,Galaxy Note 2
-6964140211214884922,小米,MI 2S
-30236203766311351,小米,MI 2S
4887985552773989409,vivo,Xplay
7206202610070842107,三星,Galaxy Note 2
-39620037751344714,小米,MI 2S
7223189369472462826,酷派,7270
-3998002640294516352,天语,Touch 3
2527845705328727233,OPPO,R2017
-3157952721100703520,三星,Galaxy Note 2
-6083057230710001248,中兴,795+
-4083221898711926203,酷派,大神Note
-4523542780146466405,vivo,Y3T
-5913071468598874323,三星,S7566
-2339363715932966819,小米,MI One Plus
4106908628505542038,金立,GN708W
-613324030015638453,联想,乐檬K3 Note
-2943457097948271624,三星,Galaxy Note 2
-8617503367917252519,三星,Galaxy S4
8749105586608216142,小米,MI 1S
1170363371146351661,联想,A820t
-5155397683752679020,华为,荣耀3C
3933889243973057197,小米,红米
7257880420181554729,小米,MI 2A
1234582813120123953,三星,Galaxy S2
-4733939105220796309,三星,Galaxy S4
